city,zipcode,avg_house_price,number_of_schools,population,poverty_count,median_household_income,poverty_rate
Hickory,28601,234926.52721088435,12,51706.0,6977.0,50821.0,13.493598421846595
Hickory,28602,177761.35714285713,5,29105.0,4340.0,47493.0,14.911527228998454
Hiddenite,28636,139978.94852941178,2,5013.0,922.0,43810.0,18.392180331139038
High Point,27235,285872.46598639456,1,4557.0,147.0,89214.0,3.225806451612903
High Point,27260,110732.71768707484,6,25761.0,8719.0,27361.0,33.84573580218159
High Point,27262,216669.97959183675,9,24379.0,5009.0,39276.0,20.546371877435497
High Point,27265,210413.53401360544,9,50139.0,4609.0,60518.0,9.192445002891962
High Point,27282,221384.57823129251,7,17835.0,1576.0,68967.0,8.836557331090553
Hillsborough,27278,308965.2329749104,12,26054.0,2705.0,71657.0,10.382282950794504
Holden Beach,28462,476891.42307692306,2,12659.0,1842.0,41243.0,14.550912394343946
Hollister,27844,67557.4756097561,2,2955.0,866.0,28170.0,29.306260575296108
Holly Springs,27540,290390.3163265306,7,37520.0,1668.0,102268.0,4.445628997867804
Hope Mills,28348,178483.3605442177,10,35673.0,4681.0,53090.0,13.121968996159561
Hot Springs,28743,213403.7650273224,1,1987.0,580.0,38018.0,29.1897332662305
Hubert,28539,193086.85483870967,1,15623.0,2282.0,52782.0,14.606669653715675
Hudson,28638,142383.2786259542,6,11698.0,2024.0,41701.0,17.30210292357668
Huntersville,28078,269493.1768707483,12,60107.0,2987.0,95874.0,4.969471109854093
Hurdle Mills,27541,257932.6326530612,1,3718.0,548.0,64038.0,14.739107046799354
Indian Trail,28079,227330.26296296297,7,36737.0,2317.0,78407.0,6.306992949887034
Iron Station,28080,321240.5189873418,2,7941.0,1505.0,53811.0,18.952273013474375
Ivanhoe,28478,150179.66129032258,1,5114.0,728.0,39906.0,14.235432147047323
Jackson,27845,87274.71333333333,1,2876.0,598.0,33750.0,20.792767732962446
Jacksonville,28540,170498.56140350876,13,48775.0,7251.0,49970.0,14.86622245002563
Jacksonville,28546,169921.26315789475,10,46338.0,5525.0,46758.0,11.923259527817343
Jarvisburg,27947,185168.25850340136,1,1431.0,60.0,50417.0,4.1928721174004195
Jonesville,28642,99159.30645161291,1,5890.0,1305.0,38750.0,22.156196943972837
Kannapolis,28081,199030.75170068027,5,27557.0,5044.0,49743.0,18.303879232137025
Kannapolis,28083,150909.53401360544,5,25540.0,3610.0,48103.0,14.13469068128426
Kenly,27542,163878.67039106146,2,9953.0,1896.0,46332.0,19.049532804179645
Kernersville,27284,214704.80952380953,14,54413.0,6184.0,61071.0,11.364931174535498
Kill Devil Hills,27948,323427.4379310345,3,11118.0,1110.0,57445.0,9.983810037776578
King,27021,175035.04421768707,6,17539.0,2407.0,50123.0,13.72370146530589
Kings Mountain,28086,155483.72448979592,7,25037.0,4397.0,42571.0,17.562008227822822
Kinston,28501,95200.93513513514,6,18334.0,5857.0,30053.0,31.946111050507252
Kinston,28504,156512.78504672897,6,21852.0,3816.0,47856.0,17.462932454695224
Kittrell,27544,187918.97282608695,1,5027.0,890.0,56382.0,17.704396260194947
Kitty Hawk,27949,375940.24742268043,1,7532.0,331.0,78191.0,4.394583112055231
Knightdale,27545,210356.9319727891,5,27186.0,1815.0,63683.0,6.676230412712425
